attendance_rate,late_rate,financial_issues,overdue_invoice_count,engagement_score,semester,classes_enrolled,dropout_risk
0.562,0.296,0,0,5.7,2,3,0
0.966,0.184,1,4,8.3,4,5,0
0.812,0.287,1,4,7.1,7,2,1
0.719,0.217,0,0,7.3,2,4,0
0.409,0.054,0,0,3.8,7,5,0
0.409,0.143,0,0,5.5,2,1,0
0.341,0.336,1,4,3.8,5,4,1
0.906,0.146,0,0,7.4,1,4,0
0.721,0.415,0,0,6.9,7,2,0
0.796,0.344,0,0,4.8,3,2,0
0.314,0.164,0,0,4.5,1,3,0
0.979,0.139,0,0,8.3,4,3,0
0.883,0.081,1,3,6.5,1,1,0
0.449,0.085,0,0,3.0,2,4,0
0.427,0.146,0,0,2.9,4,1,0
0.428,0.106,0,0,6.3,1,1,0
0.513,0.163,0,0,5.8,8,2,0
0.667,0.317,1,2,4.5,4,1,1
0.602,0.214,0,0,5.0,8,1,0
0.504,0.283,0,0,5.4,3,5,0
0.728,0.151,0,0,7.7,1,3,0
0.398,0.232,0,0,2.6,7,3,0
0.505,0.142,0,0,4.0,7,4,0
0.556,0.17,0,0,6.9,6,3,0
0.619,0.462,0,0,3.8,2,4,0
0.85,0.125,0,0,5.9,8,5,0
0.44,0.229,0,0,6.5,4,3,0
0.66,0.099,0,0,6.4,6,5,0
0.715,0.452,0,0,5.3,6,3,0
0.333,0.104,0,0,2.3,5,3,0
0.725,0.099,1,4,4.5,8,5,1
0.419,0.363,1,3,3.5,4,1,1
0.346,0.259,0,0,5.6,6,1,0
0.964,0.165,0,0,7.4,5,1,0
0.976,0.269,0,0,8.7,6,1,0
0.866,0.176,0,0,8.9,2,3,0
0.513,0.128,1,2,4.7,3,2,1
0.368,0.153,0,0,3.0,8,5,0
0.779,0.43,0,0,6.7,5,2,0
0.608,0.329,1,3,7.3,3,2,1
0.385,0.228,1,2,5.5,4,4,1
0.647,0.194,0,0,4.1,2,1,0
0.324,0.128,0,0,4.7,5,3,0
0.937,0.146,0,0,7.9,4,1,0
0.481,0.268,0,0,6.5,6,1,0
0.764,0.064,1,3,5.1,7,2,1
0.518,0.046,1,1,5.2,1,4,1
0.664,0.264,1,4,7.5,4,1,1
0.683,0.116,0,0,5.7,3,5,0
0.429,0.315,1,1,4.5,2,5,1
0.979,0.333,0,0,6.2,2,1,0
0.843,0.195,0,0,6.2,4,2,0
0.958,0.329,0,0,7.0,6,2,0
0.926,0.317,0,0,9.3,1,3,0
0.719,0.395,1,3,5.4,8,4,1
0.945,0.126,0,0,7.5,3,2,0
0.362,0.033,0,0,4.9,4,3,0
0.437,0.009,0,0,3.3,4,5,0
0.332,0.301,0,0,3.9,7,5,0
0.528,0.173,0,0,6.1,2,5,0
0.572,0.075,0,0,6.9,3,1,0
0.49,0.195,1,4,5.4,1,4,1
0.88,0.152,0,0,8.0,2,3,0
0.55,0.177,0,0,3.8,4,4,0
0.497,0.171,0,0,6.8,2,1,0
0.68,0.288,1,4,4.6,2,3,1
0.399,0.085,0,0,5.5,5,3,0
0.862,0.181,0,0,6.2,2,2,0
0.352,0.125,0,0,5.8,6,4,0
0.991,0.244,0,0,8.8,2,4,0
0.841,0.108,0,0,8.1,8,2,0
0.439,0.071,0,0,3.5,6,5,0
0.304,0.228,0,0,3.6,3,1,1
0.871,0.207,0,0,7.7,2,4,0
0.795,0.046,0,0,7.8,1,2,0
0.81,0.358,0,0,5.3,6,3,0
0.84,0.236,0,0,8.9,6,2,0
0.352,0.144,0,0,5.7,4,5,0
0.551,0.027,0,0,4.4,3,1,0
0.381,0.313,0,0,5.6,2,5,0
0.904,0.211,0,0,7.5,7,3,0
0.736,0.269,1,1,6.3,1,3,1
0.532,0.2,1,1,4.4,4,3,1
0.344,0.042,0,0,4.4,3,3,0
0.518,0.151,0,0,6.0,8,2,0
0.528,0.276,0,0,4.8,6,3,0
0.811,0.052,1,3,7.4,1,3,0
0.746,0.157,0,0,7.3,8,2,0
0.921,0.079,0,0,8.4,2,3,0
0.631,0.288,1,2,4.0,7,5,1
0.384,0.172,0,0,5.7,5,5,0
0.799,0.273,1,2,6.6,5,4,0
0.833,0.267,0,0,6.0,3,5,0
0.693,0.455,0,0,5.1,7,1,0
0.84,0.409,1,2,7.0,1,1,1
0.646,0.064,0,0,7.4,4,1,0
0.666,0.251,0,0,5.5,1,2,0
0.599,0.486,0,0,6.6,7,5,0
0.318,0.236,1,4,2.3,8,1,1
0.376,0.494,0,0,4.2,6,4,0
0.322,0.155,0,0,5.9,5,2,0
0.745,0.345,0,0,7.6,3,4,0
0.52,0.44,0,0,4.0,2,5,0
0.656,0.097,0,0,5.9,1,3,0
0.935,0.159,0,0,6.5,5,4,0
0.475,0.458,0,0,4.5,4,3,0
0.587,0.176,1,3,6.6,3,2,1
0.829,0.308,0,0,8.1,2,4,0
0.46,0.326,0,0,3.7,1,4,0
0.354,0.1,1,4,5.8,4,2,1
0.503,0.309,0,0,5.4,2,2,0
0.413,0.252,1,3,4.0,6,1,1
0.951,0.112,0,0,7.7,5,5,0
